"nid","Sequence","Judge.Name","Type","Other.Federal.Judicial.Service","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25"
1393866,1,"Carter, Andrew Lamar, Jr.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of New York, 2009-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378906,1,"Carter, James Marshall","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1972-1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378966,1,"Cauthron, Robin J.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Western District of Oklahoma, 1986-1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391236,1,"Cavanaugh, Dennis M.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 1993-2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391286,1,"Cebull, Richard F.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Montana, 1998-2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393716,1,"Cecchi, Claire Claudia","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 2006-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378996,1,"Cerezo, Carmen Consuelo","Puerto Rico Courts","Puerto Rico Courts, Judge, Puerto Rico Superior Court, 1972-1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378996,2,"Cerezo, Carmen Consuelo","Puerto Rico Courts","Puerto Rico Courts, Judge, Puerto Rico Court of Intermediate Appeals, 1976-1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394206,1,"Chappell, Sheri Polster","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Middle District of Florida, 2003-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379016,1,"Chasanow, Deborah K.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 1987-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761911,1,"Cheeks, Benjamin Jerome","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 2024-2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393696,1,"Chen, Edward Milton","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Northern District of California, 2001-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391651,1,"Chesler, Stanley R.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 1987-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379096,1,"Christensen, Albert Sherman","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1972-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379241,1,"Clevert, Charles N., Jr.","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Eastern District of Wisconsin, 1977-1995; chief bankruptcy judge, 1986-1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379261,1,"Coar, David H.","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Northern District of Illinois, 1986-1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379276,1,"Cochran, Ernest Ford","U.S. Commissioner","U.S. Commissioner, U.S. District Court for the District of South Carolina, 1889-1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379291,1,"Coffman, Jennifer B.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2011-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393646,1,"Cogburn, Max Oliver, Jr.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of North Carolina, 1995-2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379321,1,"Cole, Ransey Guy, Jr.","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Southern District of Ohio, 1987-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391716,1,"Collyer, Rosemary M.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2013-2020; presiding judge, 2016-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391716,2,"Collyer, Rosemary M.","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2016-2020; chief judge, 2016-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391991,1,"Conrad, Glen Edward","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Western District of Virginia, 1976-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393936,1,"Contreras, Rudolph","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2016-2023; presiding judge, 2021-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379456,1,"Conway, Anne C.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2016-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379456,2,"Conway, Anne C.","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2017-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379461,1,"Conway, John Edwards","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2002-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392101,1,"Cooke, Marcia G.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Eastern District of Michigan, 1984-1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379496,1,"Copenhaver, John Thomas, Jr.","Referee in Bankruptcy","Referee in Bankruptcy, Southern District of West Virginia, 1958-1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379496,2,"Copenhaver, John Thomas, Jr.","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Southern District of West Virginia, 1973-1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6770606,1,"Corker, Clifton Leland","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Tennessee, 2015-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11662361,1,"Corley, Jacqueline Scott","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Northern District of California, 2011-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391596,1,"Corrigan, Timothy J.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Middle District of Florida, 1996-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761866,1,"Costello, Mary Kathleen","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Pennsylvania, 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028221,1,"Counts, Walter David III","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Texas, 2009-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390351,1,"Cowen, Arnold Wilson","Court of Claims","Trial Judge, Court of Claims, 1942-1943, 1945-1964; chief of Trial Division, 1959-1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379556,1,"Cowen, Robert E.","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the District of New Jersey, 1978-1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379606,1,"Crabb, Barbara Brandriff","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the Western District of Wisconsin, 1971-1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379611,1,"Craig, Walter Early","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1982-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761441,1,"Crews, S. Kato","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Colorado, 2018-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392021,1,"Crone, Marcia A.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Texas, 1992-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379646,1,"Crow, Sam A.","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the District of Kansas, 1975-1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13760981,1,"Cummings, Jeffrey Irvine","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Northern District of Illinois, 2019-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379671,1,"Curran, Edward Matthew","District of Columbia Courts","Judge, District of Columbia Police Court, 1936-1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379681,1,"Currie, Cameron McGowan","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the District of South Carolina, 1984-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379706,1,"Cushman, Edward E.","Territorial Courts","Judge, U.S. District Court for the District of Alaska Territory, 1909-1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379716,1,"Cyr, Conrad Keefe","Referee in Bankruptcy","Referee in Bankruptcy, District of Maine, 1961-1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379716,2,"Cyr, Conrad Keefe","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, District of Maine, 1973-1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379716,3,"Cyr, Conrad Keefe","U.S. Bankruptcy Appellate Panel","Judge, U.S. Bankruptcy Appellate Panel  for the First Circuit, 1980-1981; chief judge, 1980-1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379716,4,"Cyr, Conrad Keefe","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1987-1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761531,1,"Damian, Melissa","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Florida, 2022-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379766,1,"Daugherty, Frederick Alvin","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1981-1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379766,2,"Daugherty, Frederick Alvin","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1982-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379851,1,"Davis, Michael James","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1999-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7545481,1,"Davis, Stephanie Dawkins","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Michigan, 2016-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393431,1,"De Vries, Marion","Board of General Appraisers","Member, Board of General Appraisers. Received a recess appointment from William McKinley on June 9, 1900, to a seat vacated by Joseph Wilkinson, Jr.; nominated to the same position by William McKinley on December 5, 1900. Confirmed by the Senate on December 10, 1900. Served as president, 1906-1910. Service terminated on April 2, 1910, due to appointment to another judicial position.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379911,1,"Deady, Matthew Paul","Territorial Courts","Judge, Oregon Territorial Courts, 1853-1859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379921,1,"Dearie, Raymond Joseph","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2012-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392611,1,"DeGiusti, Timothy D.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2023-present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394366,1,"Delgado Hernández, Pedro Alberto","Puerto Rico Courts","Puerto Rico Courts, Judge, Circuit Court of Appeals of Puerto Rico, 1995-1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392351,1,"Delgado-Colón, Aida M.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Puerto Rico, 1993-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392266,1,"Dever, James C. III","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of North Carolina, 2004-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379996,1,"Devitt, Edward James","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1985-1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393541,1,"Diaz, Albert","Military Courts","Reserve Military Judge, U.S. Marine Corps, Camp Lejeune, North Carolina, 2000-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393541,2,"Diaz, Albert","Military Courts","Reserve Military Appellate Judge, U.S. Navy-Marine Corps Court of Criminal Appeals, 2005-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11226656,1,"Dimke, Mary Katherine","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Washington, 2016-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380106,1,"Donald, Bernice Bouie","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Western District of Tennessee, 1988-1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12942526,1,"Douglas, Dana Marie","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Louisiana, 2019-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380161,1,"Dowd, David Dudley, Jr.","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 1996-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394801,1,"Drozd, Dale Alan","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of California, 1997-2015; chief magistrate judge, 2011-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380211,1,"Dubina, Joel Fredrick","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the Middle District of Alabama, 1983-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392321,1,"DuBose, Kristi","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Alabama, 2000-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380266,1,"Duncan, Robert Morton","Military Courts","Judge, U.S. Court of Military Appeals (now U.S. Court of Appeals for the Armed Forces), 1971-1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380271,1,"Dundy, Elmer Scipio","Territorial Courts","Judge, U.S. District Court, District of the Territory of Nebraska, 1863-1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380276,1,"Duniway, Benjamin Cushing","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1979-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391316,1,"Eagan, Claire","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Northern District of Oklahoma, 1998-2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391316,2,"Eagan, Claire","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2013-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380386,1,"Edgerton, Alonzo Jay","Territorial Courts","Judge, U.S. District Court for the District of Dakota Territory, 1881-1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391501,1,"Ericksen, Joan N.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2023-present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391501,2,"Ericksen, Joan N.","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2023-present; chief judge, 2025-present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380521,1,"Ervin, Robert Tait","Referee in Bankruptcy","Referee in Bankruptcy, Southern District of Alabama, 1898-1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380541,1,"Estes, Joe Ewing","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1972-1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390386,1,"Ewart, Hamilton Glover","Referee in Bankruptcy","Referee in Bankruptcy, Western District of North Carolina, 1872-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761401,1,"Federico, Richard Edward Neel","Military Courts","Military judge, Navy Reserve Trial Judiciary, Washington Navy Yard, Washington, D.C., 2019-2020, 2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380666,1,"Feldman, Martin Leach-Cross","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2010-2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380696,1,"Field, John A., Jr.","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 1982-1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393356,1,"Fischer, Israel Fredrick","Board of General Appraisers","Member, Board of General Appraisers. Received a recess appointment from William McKinley on May 2, 1899, to a seat vacated by Ferdinand N. Shurtleff; nominated to the same position by William McKinley on December 15, 1899. Confirmed by the Senate on January 17, 1900, and received commission on January 22, 1900. Served as president, 1902-1905. Service terminated on May 28, 1926, due to reassignment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391916,1,"Flanagan, Louise W.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of North Carolina, 1995-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393236,1,"Fleissig, Audrey Goldstein","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Missouri, 2001-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380856,1,"Forrester, J. Owen","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the Northern District of Georgia, 1976-1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380921,1,"Freedman, Frank Harlan","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1990-1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380956,1,"Friendly, Henry Jacob","Special Railroad Court","Judge, Special Railroad Court, 1974-1986; presiding judge, 1974-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
